date,price,amount
2020-01-02,7051.283380612857,3972.7079542700226
2020-01-03,7226.527162230603,8072.7290874900045
2020-01-04,7320.218712952209,3256.7373534900125
2020-01-05,7427.622450088716,2707.2738554899997
2020-01-06,7573.208148925328,6728.282778310012
2020-01-07,7943.409996761087,12158.322812379987
2020-01-08,8220.220190099928,11913.232481920242
2020-01-09,7893.7761647129855,5957.244239780062
2020-01-10,7917.121777217501,8999.988256870101
2020-01-11,8117.671455779395,3788.3273136000103
2020-01-12,8110.660853555649,2056.0867536899864
2020-01-13,8101.408587005,4011.439096440024
2020-01-14,8590.565355022767,17009.43193382033
2020-01-15,8752.961221916274,8606.883399360073
2020-01-16,8671.2671942037,6713.258476400032
2020-01-17,8864.592607247881,9363.15892644012
2020-01-18,8893.519356136889,3678.0092661500066
2020-01-19,8820.983263618313,8785.449927000103
2020-01-20,8640.568682008445,4420.1982521900345
2020-01-21,8642.173931147792,3394.6891600500135
2020-01-22,8663.591243585293,3143.812123310025
2020-01-23,8420.553857627456,8611.010787600027
2020-01-24,8373.003298860613,6430.430233259992
2020-01-25,8320.406234561955,2812.7899521599625
2020-01-26,8443.542233485385,6340.585775789906
2020-01-27,8761.193495439224,9619.774742600099
2020-01-28,9061.140218740918,9565.559355150144
2020-01-29,9332.357026230267,6481.91594603008
2020-01-30,9384.778427378951,7945.158778939938
2020-01-31,9331.930418035137,5009.622306950026
2020-02-01,9370.245784837209,1669.002462420003
2020-02-02,9367.738822197192,3015.791588590037
2020-02-03,9332.57616550798,4758.133504410002
2020-02-04,9198.067912963152,4867.225458809954
2020-02-05,9475.03234211696,8063.967938280049
2020-02-06,9697.352839616897,7554.488674690042
2020-02-07,9776.89210998061,4013.4909673100965
2020-02-08,9812.071828920589,3268.7355469500217
2020-02-09,10077.931853608457,4830.33787739006
2020-02-10,9914.596782761428,7560.667890840055
2020-02-11,10015.267428918138,8127.596362830096
2020-02-12,10345.652228622643,6553.40942709005
2020-02-13,10267.488978959815,9347.451283740165
2020-02-14,10262.044396793832,6190.377490359988
2020-02-15,10092.981720415746,5762.3063448100775
2020-02-16,9888.932411021835,4133.476750140025
2020-02-17,9703.214017676328,5913.204925510058
2020-02-18,9885.431891212053,6754.353941030012
2020-02-19,9999.893480862587,9936.820681400217
2020-02-20,9576.718296042149,6608.491079200088
2020-02-21,9688.462196404535,4271.4707429299815
2020-02-22,9658.521964551759,2096.5635359300013
2020-02-23,9878.88761366114,3329.2243364799992
2020-02-24,9725.410077974679,5877.007707710028
2020-02-25,9459.798671051192,6280.002955430076
2020-02-26,8992.51575524617,11564.197943810324
2020-02-27,8795.607507709286,9273.903663600111
2020-02-28,8675.673084244028,6546.981227650044
2020-02-29,8680.9560310529,2338.0678564299833
2020-03-01,8550.012807196963,4156.571739330054
2020-03-02,8766.493508120657,6186.8608892901775
