date,price,amount
2020-01-02,6311.284933845402,3539.82960821005
2020-01-03,6499.787165416979,5191.973992390138
2020-01-04,6565.77030287902,1660.1801847899885
2020-01-05,6659.87488224901,2166.2159759999913
2020-01-06,6764.672130235183,4812.754626720129
2020-01-07,7129.145131279178,7764.226059410179
2020-01-08,7389.708610878703,9422.86918119053
2020-01-09,7105.734793279166,4512.816147210095
2020-01-10,7144.43584913415,5659.666571420223
2020-01-11,7301.250689763825,2905.8842899600095
2020-01-12,7295.249624695105,1730.3647776099717
2020-01-13,7286.353463262155,3520.6924225100033
2020-01-14,7739.445818719781,9532.645049900548
2020-01-15,7864.384152172079,7271.535669570212
2020-01-16,7792.9565914616105,4269.745967939972
2020-01-17,7992.995942299665,6143.339374350173
2020-01-18,8021.70260247243,2028.126960629981
2020-01-19,7930.405368898928,6373.426899990251
2020-01-20,7799.8131095533645,4188.163286550045
2020-01-21,7797.730072463649,3809.8525694200557
2020-01-22,7817.522823856482,2800.37429921001
2020-01-23,7597.748315509126,4620.70241897011
2020-01-24,7612.081662091371,4486.571112570019
2020-01-25,7566.968972134178,1717.8730486099641
2020-01-26,7690.947543437272,2322.7131051299807
2020-01-27,7949.107508215778,4882.990890860074
2020-01-28,8199.244283530505,8003.304635540538
2020-01-29,8476.953276209624,4789.818891080194
2020-01-30,8520.896596500457,5110.854822590211
2020-01-31,8436.955811678672,4733.762558720198
2020-02-01,8445.53426441535,1414.088929329976
2020-02-02,8456.351625326404,2313.0310254399787
2020-02-03,8434.175663637196,3402.1271028999668
2020-02-04,8321.320882392118,3817.407315319995
2020-02-05,8606.11823493372,5986.696378040262
2020-02-06,8844.664264230856,4929.302130620128
2020-02-07,8932.872587825483,3786.367015970015
2020-02-08,8983.907185900913,2618.262087509998
2020-02-09,9218.52136014475,3573.263890990073
2020-02-10,9041.329731321424,5234.570977420184
2020-02-11,9203.778346011224,6111.65763785033
2020-02-12,9500.415993522842,5128.255029360226
2020-02-13,9461.48471439359,7064.88517304032
2020-02-14,9483.179647464387,3919.030640820068
2020-02-15,9302.281555153699,4114.62964417006
2020-02-16,9112.321118814189,2993.813808039998
2020-02-17,8934.308884674825,6342.840423250423
2020-02-18,9161.328577085793,6413.755770760393
2020-02-19,9244.401585080253,5964.147456730354
2020-02-20,8886.929336872141,4475.253022620155
2020-02-21,8971.958846732592,2962.348342770012
2020-02-22,8913.115049960194,1189.8401915499862
2020-02-23,9122.824310919012,2160.784361939956
2020-02-24,8962.962961570338,4215.323443800077
2020-02-25,8713.900838166284,4850.995271720151
2020-02-26,8245.960857584521,10929.854478770612
2020-02-27,8050.645488733115,5946.030643380268
2020-02-28,7863.898731979987,6285.470869280584
2020-02-29,7873.468471862438,1717.648540819964
2020-03-01,7753.4777777777235,3322.451346820035
2020-03-02,7923.609331296762,5758.952030551029
2020-03-03,7893.047879335117,4689.735424240119
2020-03-04,7868.671887884882,3410.0577988004225
2020-03-05,8095.950031572993,4659.120176210162
2020-03-06,8071.232716615698,2957.4449687200095
2020-03-07,8008.20393061331,1906.1335432799756
2020-03-08,7479.398938713591,6763.372312010463
2020-03-09,6879.1070111454155,10961.427993861025
2020-03-10,7023.996292749212,7608.761797950392
2020-03-11,6916.260437804346,6432.384085970307
2020-03-12,5504.750909704587,35457.84016727747
2020-03-13,4745.608360224562,36178.077361219206
2020-03-14,4877.300021283375,7978.129311920704
2020-03-15,4880.051647930626,9477.520520790538
2020-03-16,4385.015853783493,22814.778175968986
2020-03-17,4841.241598030968,15923.726909920604
2020-03-18,4827.4167239798535,13249.07890452055
2020-03-19,5531.284760756536,22098.613025249848
2020-03-20,6004.482474934544,25449.169095310288
2020-03-21,5795.005014346656,6743.296645660387
2020-03-22,5704.624123027156,7581.484858540415
2020-03-23,5776.800612812275,13603.659747180389
2020-03-24,6192.279596362386,12195.408239240269
2020-03-25,6189.008962052703,11219.342934890452
2020-03-26,6085.01980381686,8816.564539200384
2020-03-27,6020.729212486025,6999.002191220321
2020-03-28,5604.979337199745,8742.334602480381
2020-03-29,5454.730570657472,6187.473112450163
2020-03-30,5733.762733098081,11047.423673350257
2020-03-31,5887.9028995256085,6448.004756000293
2020-04-01,5785.803585473166,7418.731906750307
2020-04-02,6264.270294954731,15036.562737720731
2020-04-03,6331.861726485064,8560.071449150246
2020-04-04,6295.274732444781,4248.113303630018
2020-04-05,6293.620572709166,2871.411255210004
2020-04-06,6605.1810330963635,10396.207623730403
2020-04-07,6728.501087285484,10167.558876930421
2020-04-08,6726.817398176758,6719.621953410231
2020-04-09,6702.22963282523,6050.243945860163
2020-04-10,6357.024074968429,8756.890392380428
2020-04-11,6285.048028806249,2461.211138439987
2020-04-12,6414.604396806203,4992.178539680172
2020-04-13,6185.184733072992,6775.080056530116
2020-04-14,6294.901490280866,5576.298199610096
2020-04-15,6217.918193228185,6666.361326280267
2020-04-16,6395.412705210369,13078.42299735025
2020-04-17,6518.524913257238,4811.841437340075
2020-04-18,6613.642535333594,3414.677002400011
2020-04-19,6592.130795663267,2608.7788391299964
2020-04-20,6449.986428995973,8223.592187160288
2020-04-21,6338.80987500894,6273.086412190218
2020-04-22,6492.207682558779,6849.586512020062
2020-04-23,6832.729185758799,10416.879371940366
2020-04-24,6975.186933835993,6483.365810700306
2020-04-25,6993.42762992886,3356.6042927499784
2020-04-26,7051.8523928757295,4656.782890330067
2020-04-27,7128.055536047059,6110.983968660196
2020-04-28,7144.904699996159,4675.42473707002
2020-04-29,7749.281667975868,20838.900951380165
2020-04-30,8211.2228798742,21449.318500370362
2020-05-01,8041.995297901609,6832.304094120181
2020-05-02,8100.04582512876,3739.570327560085
2020-05-03,8177.787550398245,6498.717204740166
2020-05-04,8040.7186559284255,8417.77178371021
2020-05-05,8236.634426650717,8312.807869460088
2020-05-06,8517.20586476877,10930.452411890334
2020-05-07,8889.01429752425,16624.120886570363
2020-05-08,9156.130822065148,9345.347426230492
2020-05-09,8947.160575166952,7087.256067210315
2020-05-10,8057.7739286352735,18794.19403691065
2020-05-11,8053.142567129826,17631.564494640337
2020-05-12,8130.326020776757,6875.908861210307
2020-05-13,8408.481304122775,8695.848725770484
2020-05-14,8915.21893551847,14117.49269959063
2020-05-15,8787.831296858329,9990.68854722065
2020-05-16,8697.045728117188,3119.9792703799935
2020-05-17,8926.629039820042,6828.495522910163
2020-05-18,8927.439606383443,8136.27959405018
2020-05-19,8861.70236810987,8137.170724380079
2020-05-20,8785.727567437742,8436.512481560318
2020-05-21,8383.559091429408,12721.652001750364
2020-05-22,8388.54711860128,6289.635731880111
2020-05-23,8445.186967616526,2184.1415280199844
2020-05-24,8294.61106486294,4906.569291760173
2020-05-25,8095.586242750292,6256.603260980244
2020-05-26,8083.495486477346,5228.0523265701295
2020-05-27,8267.69264073865,5433.323153030144
2020-05-28,8482.932856300848,6931.3108976103
2020-05-29,8500.02169932034,4708.7688386500495
2020-05-30,8579.82484843088,3227.216031630039
2020-05-31,8587.39412598498,3338.4047460900506
2020-06-01,8784.439798666417,7650.025570210247
2020-06-02,8780.998520065981,16248.489501570515
2020-06-03,8532.891688014748,5942.859952690104
2020-06-04,8617.941606485925,6834.844305770138
2020-06-05,8609.105794460518,4849.391565320141
2020-06-06,8558.105709841184,2668.3422093599993
2020-06-07,8516.594529092083,4514.887096810097
2020-06-08,8610.476007989477,4724.31618424003
2020-06-09,8594.418693904003,5112.697563510065
2020-06-10,8632.316805489225,5478.705200900169
2020-06-11,8401.110681439863,11224.305090920583
2020-06-12,8363.613592744603,5937.785898850149
2020-06-13,8376.212027115584,1641.3578015599862
2020-06-14,8342.20088746639,1611.8911477699878
2020-06-15,8171.765154639176,10165.914764230132
2020-06-16,8414.446444057263,4247.982370940064
2020-06-17,8396.299196850872,5753.713843920128
2020-06-18,8387.620691348438,3689.554794930026
2020-06-19,8340.609211227647,3955.362417240054
2020-06-20,8320.543509351082,1744.3507294399847
2020-06-21,8358.742035140283,1187.6768898599908
2020-06-22,8475.123599105762,4945.9169924301505
2020-06-23,8536.513498037333,4154.794033320007
2020-06-24,8336.700329397752,7115.762395530242
2020-06-25,8220.996157358639,6145.6942174601445
2020-06-26,8177.747521184658,4743.219630390058
2020-06-27,8095.624482627547,3441.9684064300495
2020-06-28,8102.910309480511,2633.093571790009
2020-06-29,8108.594532421377,4302.852302820033
2020-06-30,8158.632138835807,3175.831090940032
2020-07-01,8199.082279534075,3431.368076890005
2020-07-02,8128.621757306587,5862.174477320145
2020-07-03,8109.136083173115,2763.2319195600417
2020-07-04,8088.619898150337,1783.2672091399756
2020-07-05,8047.7657144838695,1577.5948302599802
2020-07-06,8180.2987032236815,4237.837342800039
2020-07-07,8217.928270970808,2959.253274010056
2020-07-08,8285.000874487747,5521.497669690119
2020-07-09,8247.769050817958,5861.956961490183
2020-07-10,8159.887604140435,4742.567543210105
2020-07-11,8188.58487562196,1294.8618601599903
2020-07-12,8196.39299639514,1464.4148367699788
2020-07-13,8200.36993646351,4165.939503790075
2020-07-14,8116.229352863389,4232.424980460035
2020-07-15,8085.668053790424,4246.405492830137
2020-07-16,8003.913302736875,5473.921863030182
2020-07-17,8015.819153433799,2717.486462620047
2020-07-18,8035.753569393003,1648.6739538499708
2020-07-19,8023.001504230772,1195.3983770399846
2020-07-20,8033.7655118950115,3704.618773070098
2020-07-21,8156.6713288733845,5452.01874132014
2020-07-22,8115.709390801969,5184.678808080223
2020-07-23,8248.39127736363,5822.776027970252
2020-07-24,8238.663998159744,4229.75542398017
2020-07-25,8281.603147869386,1976.081493599966
2020-07-26,8480.32184533272,5583.066952520125
2020-07-27,9018.917195395938,17414.65193666042
2020-07-28,9350.133715638232,10022.556585530416
2020-07-29,9470.18420915779,7469.043980080288
2020-07-30,9365.43704179483,5417.899661860222
2020-07-31,9511.341290748665,5959.665111850219
2020-08-01,9904.910247075224,8586.629401100457
2020-08-02,9610.556118237186,9617.216279080354
2020-08-03,9612.916763828052,4961.9837904001415
2020-08-04,9553.760217162318,5175.962039640249
2020-08-05,9735.46382994205,7364.237544020488
2020-08-06,9942.671791101517,7213.995587490293
2020-08-07,9912.154429778442,7732.05790359045
2020-08-08,9932.274253412132,2099.525048699994
2020-08-09,9891.770165490581,2654.473271410052
2020-08-10,10116.919119027369,8139.380894950557
2020-08-11,9840.418824442091,7907.177031340635
2020-08-12,9775.12548576474,4856.68582080022
2020-08-13,9765.238852253497,6463.662049290213
2020-08-14,9952.812500656524,4796.968338040203
2020-08-15,10040.228921357935,3012.572968490061
2020-08-16,10011.972181454325,1952.209592409942
2020-08-17,10234.832479324205,9088.720991290522
2020-08-18,10188.598938345942,7694.3608395305
2020-08-19,9911.30562169625,6744.763634450423
2020-08-20,9987.287236422535,3697.2545783901865
2020-08-21,9954.331518415012,4959.37024900028
2020-08-22,9825.323370393591,2528.76921178003
2020-08-23,9872.981987707253,1538.5187167899844
2020-08-24,9964.382513953145,3411.721115530188
2020-08-25,9700.761635259589,7299.756278450496
2020-08-26,9670.728215191615,4661.502613390203
2020-08-27,9606.67736877623,5604.878672430262
2020-08-28,9651.547900704107,4459.638588310163
2020-08-29,9692.77145145161,2093.427493689986
2020-08-30,9776.354795877907,2380.025120279998
2020-08-31,9816.516598438024,4235.6277465101175
2020-09-01,9963.107954273459,6494.454732520468
2020-09-02,9720.89582812311,8734.307454550506
2020-09-03,9216.698725561913,12111.664126070587
2020-09-04,8790.017255621806,10794.048101940483
2020-09-05,8626.716495136696,6058.246424040252
2020-09-06,8648.708714115775,2294.342277920006
