date,price,amount
2020-01-02,7034.911758474554,4057.3315456199957
2020-01-03,7245.339395255195,8120.491404720319
2020-01-04,7324.028642002444,2912.373130550025
2020-01-05,7418.509405551243,2904.0934939999725
2020-01-06,7572.495889592645,5994.0749446002055
2020-01-07,7969.01497861733,10390.756199720861
2020-01-08,8219.52595563015,12263.42855540055
2020-01-09,7887.589066059196,6127.639397490133
2020-01-10,7939.489373617692,8032.135124820407
2020-01-11,8134.516357465973,4806.777695590045
2020-01-12,8100.317478098503,2330.0675471399804
2020-01-13,8104.423911868074,2714.888251519992
2020-01-14,8595.734010843813,15537.34136256079
2020-01-15,8755.262687168077,8031.776989580365
2020-01-16,8675.612948709722,4960.813722890102
2020-01-17,8868.513307149133,8148.706392470292
2020-01-18,8895.517514970075,3915.304064090015
2020-01-19,8813.772324392288,8532.302676900506
2020-01-20,8637.575502935802,3779.492361800019
2020-01-21,8625.494793491782,4521.519072330054
2020-01-22,8658.606505429332,3097.91256917995
2020-01-23,8417.065516296909,5865.7000315701025
2020-01-24,8384.99693322989,4582.860309110026
2020-01-25,8323.702664399072,2513.0101298299983
2020-01-26,8470.62271186441,3516.6668093599983
2020-01-27,8770.688278940745,6287.217151080219
2020-01-28,9083.605617662419,8030.840786410444
2020-01-29,9335.709733712521,5598.646052430092
2020-01-30,9379.095628739735,8016.285348640213
2020-01-31,9335.599716994378,4869.462758060066
2020-02-01,9372.071612800546,1680.52574218999
2020-02-02,9361.560807328817,3269.3896837800016
2020-02-03,9357.674863950497,4995.3482989101285
2020-02-04,9187.99543612191,3809.731339550022
2020-02-05,9495.396657368557,6914.053475540342
2020-02-06,9708.168948003273,5888.038355850137
2020-02-07,9776.140859845116,3687.0081277300055
2020-02-08,9819.64842798687,3479.919135920022
2020-02-09,10065.071816045522,4824.284684910138
2020-02-10,9907.965081671795,5740.5375218401405
2020-02-11,10084.600104062545,7498.787919860454
2020-02-12,10348.239381266287,6776.937559740259
2020-02-13,10283.078027963516,7307.310615680311
2020-02-14,10270.631233142007,3567.7507352900993
2020-02-15,10020.097019458059,3626.96333990012
2020-02-16,9858.58058694052,3239.1698718600323
2020-02-17,9678.522588785498,4759.257656620079
2020-02-18,9938.171755115975,4946.630027690098
2020-02-19,9914.509491940828,6771.753370860183
2020-02-20,9570.872563840567,4154.0728687101555
2020-02-21,9686.985128353539,2778.866791249997
2020-02-22,9662.134986511695,1028.0012047600007
2020-02-23,9892.117683976121,2462.426226279979
2020-02-24,9719.901676132411,4234.870592930031
2020-02-25,9442.648480545284,4373.897471170058
2020-02-26,8973.80489204407,8419.184723640417
2020-02-27,8773.595369458124,4871.4714351501525
2020-02-28,8651.544906204856,5456.724599240082
2020-02-29,8668.845492174425,2241.9659240599976
2020-03-01,8546.638145222394,3134.0478895600463
2020-03-02,8787.863078040442,4758.5650670100995
2020-03-03,8777.30460083368,3892.828164549999
2020-03-04,8751.094808643082,3140.2803402000427
2020-03-05,9012.723714481179,4762.432909950176
2020-03-06,9095.323934026677,3664.4395100400893
2020-03-07,9028.328952400205,2985.5724461600907
2020-03-08,8435.239031961884,7188.98135068024
2020-03-09,7858.847150697941,9972.594751420567
2020-03-10,7947.063310025455,7321.233208510148
2020-03-11,7815.308394899488,6679.275697150131
2020-03-12,6105.526169579304,39800.71505226781
2020-03-13,5173.693462847838,45110.87342508626
2020-03-14,5385.810331436151,11373.589389920653
2020-03-15,5396.363212879913,14972.442417290946
2020-03-16,4896.177242742157,25217.669139658556
2020-03-17,5320.209086213139,17512.038438330976
2020-03-18,5274.025239216692,17389.77099803074
2020-03-19,5928.016442393287,21672.567941009358
2020-03-20,6374.094432189181,22752.76020803097
2020-03-21,6180.959093077229,11088.609270230556
2020-03-22,6063.352508411904,11834.239978280562
2020-03-23,6207.753629782937,16490.584917871194
2020-03-24,6655.8656231320765,15187.887373890957
2020-03-25,6676.530901767762,12154.11551176066
2020-03-26,6674.498023186682,7007.124591540134
2020-03-27,6660.669888446185,9964.063906610261
2020-03-28,6217.7009560151455,9047.777137440307
2020-03-29,6046.079180814876,6451.480742490439
2020-03-30,6314.998481921056,11024.051467640624
2020-03-31,6449.329578137091,6173.385897920153
2020-04-01,6372.021496454412,11298.752598340354
2020-04-02,6827.421934750322,18344.455135120268
2020-04-03,6821.058463603375,11139.798714810284
2020-04-04,6803.457692534058,6160.362580140114
2020-04-05,6790.340641953013,3842.2336429800484
2020-04-06,7121.2040310127395,12052.074551380598
2020-04-07,7300.5936667111555,10959.241092330385
2020-04-08,7302.664590001315,7513.673683160077
2020-04-09,7286.31615114796,7172.4670971801015
2020-04-10,6963.320397482438,10944.2498138904
2020-04-11,6868.303106113773,4297.110451690045
2020-04-12,7003.190261991913,7413.51868624021
2020-04-13,6751.415335686535,10209.636157580146
2020-04-14,6887.808079638905,5897.65064809008
2020-04-15,6766.081788928223,6376.292626910086
2020-04-16,6926.854231299984,14381.391670450568
2020-04-17,7074.208931644991,5728.811065630116
2020-04-18,7191.046208659273,4787.197731750028
2020-04-19,7161.186497006001,3469.2676138799943
2020-04-20,6980.537189561477,7408.890869870157
2020-04-21,6866.591642803267,4638.378961650071
2020-04-22,7035.028126988664,5933.870005450107
2020-04-23,7419.055698939429,11413.461622520605
2020-04-24,7516.436928531397,7417.325300070134
2020-04-25,7557.066958972711,5605.490596540038
2020-04-26,7612.615241124479,4518.490226890085
2020-04-27,7715.7786292600895,6358.904211040047
2020-04-28,7729.703382706188,4236.805664230019
2020-04-29,8418.71096843237,20471.051906920107
2020-04-30,8930.63433232726,23985.389925689862
2020-05-01,8805.334415922483,8508.443955790128
2020-05-02,8894.16833833476,5759.286713750156
2020-05-03,8983.779101952854,8379.619773100121
2020-05-04,8777.007320866698,8240.874319510125
2020-05-05,8934.321327995596,7421.48480588012
2020-05-06,9204.878002172913,11362.013133350447
2020-05-07,9629.932738387248,18206.78074228042
2020-05-08,9920.084764177598,9783.489382270343
2020-05-09,9692.019316512484,8004.082453240163
2020-05-10,8677.133143723067,21269.657392690366
2020-05-11,8680.035258346428,18291.8276888102
2020-05-12,8789.322260565465,7354.1034119400865
2020-05-13,9126.122513070319,9472.110877610288
2020-05-14,9636.444391502366,12966.020534070707
2020-05-15,9471.910315161882,11082.915586330551
2020-05-16,9399.762833985353,4905.165280780096
2020-05-17,9676.948107064325,6998.249637950083
2020-05-18,9715.633911339004,8025.3476343400935
2020-05-19,9683.44236125197,8433.882529360126
2020-05-20,9600.23032799376,8928.346999910244
2020-05-21,9151.107227574017,12850.78533232037
2020-05-22,9124.695700728236,5948.228464480147
2020-05-23,9204.004025834322,3223.806446810017
2020-05-24,9006.41837114648,6806.688998980105
2020-05-25,8816.249118080648,6019.259898830103
2020-05-26,8840.813388947981,5236.665565940064
2020-05-27,9074.894797062847,6834.049904460103
2020-05-28,9370.843492231428,8108.357589700159
2020-05-29,9447.381570082827,6002.5693404299955
2020-05-30,9534.08379649196,5071.764975670071
2020-05-31,9539.856174254805,3643.435970210007
2020-06-01,9861.906045041604,9866.951158350312
2020-06-02,9772.21048608164,14963.957629820925
2020-06-03,9550.204913130063,4383.395310090048
2020-06-04,9712.012888698324,6818.328142690129
2020-06-05,9722.662882371578,5121.006688160049
2020-06-06,9636.406239493597,2681.153133079988
2020-06-07,9608.550388040681,4869.616676090035
2020-06-08,9724.465779311497,3571.199839830006
2020-06-09,9735.177854211044,5905.613926679963
2020-06-10,9831.67533269389,5841.623775459997
2020-06-11,9494.395865176659,12247.96471877073
2020-06-12,9411.42614343692,4753.441604000136
2020-06-13,9425.350418675418,1910.8142824099882
2020-06-14,9376.55778324596,2680.3868017900018
2020-06-15,9226.70466958105,9823.894282940284
2020-06-16,9495.184297774415,5563.380482460088
2020-06-17,9420.981226173506,5393.869046250016
2020-06-18,9393.191647140819,3652.896918280025
2020-06-19,9325.375931165814,4506.12586124005
2020-06-20,9292.492066134015,2127.730458170001
2020-06-21,9344.559194948695,2014.1998150199909
2020-06-22,9549.049934570507,5237.8134433701025
2020-06-23,9641.260626765012,3628.18725463002
2020-06-24,9384.586618704963,5937.382567520235
2020-06-25,9202.887225606311,6244.400485700108
2020-06-26,9163.260368030733,5297.724286400066
2020-06-27,9031.15990549149,4249.829479990028
2020-06-28,9069.420637345838,2562.549236000005
2020-06-29,9126.809740490615,4167.075032250022
2020-06-30,9147.743989769777,2685.8519059299856
2020-07-01,9213.95861229974,3526.7614126000176
2020-07-02,9117.540958953949,4547.45864937007
2020-07-03,9092.062494819731,1652.1633885099843
2020-07-04,9107.228432010343,1524.4031611299943
2020-07-05,9040.99648997139,1933.6621697699936
2020-07-06,9250.995579108885,4710.448473330041
2020-07-07,9274.187644995887,3589.573913250017
2020-07-08,9371.45031597024,4307.70416023999
2020-07-09,9300.174417152355,3776.718261659986
