amount,total,price,type
0.04031,0.04031,43228.1,buy
0.02545,0.06576,43226.42,buy
0.02,0.08576,43226.41,buy
0.76184,0.8475999999999999,43226.01,buy
0.11238,0.9599799999999999,43223.65,buy
0.3209,1.28088,43223.64,buy
0.04203,1.32291,43221.9,buy
0.0415,1.3644100000000001,43220.14,buy
0.106,1.4704100000000002,43219.89,buy
0.01093,1.4813400000000003,43218.88,buy
0.01,1.4913400000000003,43218.68,buy
0.01696,1.5083000000000004,43218.67,buy
0.16385,1.6721500000000005,43217.23,buy
0.05782,1.7299700000000005,43217.22,buy
0.1943,1.9242700000000004,43216.62,buy
0.11573,2.0400000000000005,43216.15,buy
0.22404,2.2640400000000005,43215.08,buy
0.58,2.8440400000000006,43215.07,buy
0.06,2.9040400000000006,43214.37,buy
0.86383,3.7678700000000007,43213.13,buy
2.24334,6.01121,43212.84,buy
0.10057,6.11178,43212.7,buy
0.11534,6.22712,43212.53,buy
0.00116,6.22828,43212.48,buy
0.05783,6.28611,43212.37,buy
0.20099,6.4871,43212.14,buy
0.03,6.5171,43211.66,buy
0.01,6.5271,43211.5,buy
0.24943,6.77653,43210.84,buy
0.24007,7.0166,43210.65,buy
0.00893,7.025530000000001,43210.28,buy
0.11565,7.14118,43209.31,buy
0.15,7.291180000000001,43209.3,buy
0.0459,7.33708,43209.26,buy
0.18614,7.52322,43209.13,buy
0.1863,7.70952,43207.96,buy
0.0231,7.732620000000001,43207.67,buy
0.1,7.83262,43205.26,buy
0.19601,8.02863,43203.98,buy
0.01092,8.03955,43203.06,buy
0.8,8.839550000000001,43201.46,buy
0.45852,9.298070000000001,43201.45,buy
0.21366,9.511730000000002,43200.88,buy
0.00962,9.521350000000002,43200.0,buy
0.00116,9.522510000000002,43199.11,buy
0.23126,9.753770000000003,43199.04,buy
0.19114,9.944910000000004,43197.09,buy
0.17351,10.118420000000004,43196.75,buy
0.39758,10.516000000000004,43196.25,buy
0.0005,10.516500000000004,43195.85,buy
0.01984,10.536340000000004,43194.67,buy
0.2066,10.742940000000004,43193.7,buy
0.04685,10.789790000000004,43193.69,buy
0.04226,10.832050000000004,43193.24,buy
0.00078,10.832830000000005,43191.83,buy
0.2452,11.078030000000005,43187.59,buy
0.19583,11.273860000000006,43185.87,buy
0.076,11.349860000000007,43185.78,buy
0.00024,11.350100000000007,43185.71,buy
0.00116,11.351260000000007,43183.98,buy
0.02415,11.375410000000008,43183.9,buy
0.23135,11.606760000000008,43183.1,buy
0.04831,11.65507000000001,43182.99,buy
0.00525,11.66032000000001,43179.67,buy
0.04607,11.70639000000001,43175.3,buy
0.18113,11.88752000000001,43175.25,buy
0.18721,12.07473000000001,43174.8,buy
0.0236,12.09833000000001,43174.69,buy
0.00116,12.09949000000001,43174.0,buy
0.0004,12.099890000000011,43173.93,buy
0.01602,12.11591000000001,43173.5,buy
0.2,12.31591000000001,43173.04,buy
0.1661,12.48201000000001,43171.1,buy
0.05,12.53201000000001,43170.27,buy
0.1087,12.640710000000011,43170.11,buy
0.2369,12.877610000000011,43169.95,buy
0.0037,12.881310000000012,43169.04,buy
0.2,13.08131000000001,43168.42,buy
0.00366,13.08497000000001,43167.83,buy
